text;success;reference;tags
three one four two nine two three five zero four;False;U3 U1 U4 U2 U9 U2 U3 U5 U0 U4;3 1 4 2 9 2 3 5 0 4
five zero two two three six one four two eight;False;U5 U0 U2 U2 U3 U6 U1 U4 U2 U8;5 0 2 2 3 6 1 4 2 8
seven two zero two five three eight one nine seven;False;U7 U2 U0 U2 U5 U3 U8 U1 U9 U7;7 2 0 2 5 3 8 1 9 7
seven six zero nine nine one seven zero three three;False;U7 U6 U0 U9 U9 U1 U7 U0 U3 U3;7 6 0 9 9 1 7 0 3 3
six two zero two seven three one one eight six;False;U6 U2 U0 U2 U7 U3 U1 U1 U8 U6;6 2 0 2 7 3 1 1 8 6
two one seven six five seven five six eight two;False;U2 U1 U7 U6 U5 U7 U5 U6 U8 U2;2 1 7 6 5 7 5 6 8 2
two one seven eight four seven three three nine eight;False;U2 U1 U7 U8 U4 U7 U3 U3 U9 U8;2 1 7 8 4 7 3 3 9 8
five three zero two nine nine two six three one;False;U5 U3 U0 U2 U9 U9 U2 U6 U3 U1;5 3 0 2 9 9 2 6 3 1
six five one six three two two four nine five;False;U6 U5 U1 U6 U3 U2 U2 U4 U9 U5;6 5 1 6 3 2 2 4 9 5
eight zero three two six one seven zero nine seven;False;U8 U0 U3 U2 U6 U1 U7 U0 U9 U7;8 0 3 2 6 1 7 0 9 7
five seven three six seven two nine one two six;False;U5 U7 U3 U6 U7 U2 U9 U1 U2 U6;5 7 3 6 7 2 9 1 2 6
five six one two zero seven eight eight five three;False;U5 U6 U1 U2 U0 U7 U8 U8 U5 U3;5 6 1 2 0 7 8 8 5 3
three two three nine seven four eight nine two seven;False;U3 U2 U3 U9 U7 U4 U8 U9 U2 U7;3 2 3 9 7 4 8 9 2 7
five eight six four three one five nine seven five;False;U5 U8 U6 U4 U3 U1 U5 U9 U7 U5;5 8 6 4 3 1 5 9 7 5
three two zero two one three one two one five;False;U3 U2 U0 U2 U1 U3 U1 U2 U1 U5;3 2 0 2 1 3 1 2 1 5
four two five two six one six nine eight three;False;U4 U2 U5 U2 U6 U1 U6 U9 U8 U3;4 2 5 2 6 1 6 9 8 3
