text;success;reference;tags
nove sete um cinco sete meia cinco meia oito oito três dois quatro zero dois;False;U9 U7 U1 U5 U7 U6 U5 U6 U8 U8 U3 U2 U4 U0 U2;
dois meia três nove meia três cinco dois meia zero dezoito oitenta e três quarenta e sete;True;U2 U6 U3 U9 U6 U3 U5 U2 U6 U0 D1 U8 D8 U3 D4 U7;U2 U6 U3 U9 U6 U3 U5 U2 U6 U0 D1 U8 D8 U3 D4 U7
dezoito cinquenta meia meia zero quatro zero três oito três dois nove sete sete;False;D1 U8 D50 U6 U6 U0 U4 U0 U3 U8 U3 U2 U9 U7 U7;
zero dois zero três oito oito sete quatro um nove quatro quatro três quatro seis cinco;True;U0 U2 U0 U3 U8 U8 U7 U4 U1 U9 U4 U4 U3 U4 U6 U5;U0 U2 U0 U3 U8 U8 U7 U4 U1 U9 U4 U4 U3 U4 U6 U5
um sete meia três oito cinco sete nove três meia meia zero quatro dois;False;U1 U7 U6 U3 U8 U5 U7 U9 U3 U6 U6 U0 U4 U2;
dois oito sete seis zero cinco quatro oito vinte e sete noventa e seis trezentos e sessenta e um;False;U2 U8 U7 U6 U0 U5 U4 U8 D2 U7 D9 U6 C3 D6 U1;
quatro oito cinco três nove três três sete sete três zero um um meia dois;False;U4 U8 U5 U3 U9 U3 U3 U7 U7 U3 U0 U1 U1 U6 U2;
um meia quatro sete quatro quatro sete oito cinco dois três nove nove zero cinco;False;U1 U6 U4 U7 U4 U4 U7 U8 U5 U2 U3 U9 U9 U0 U5;
dois nove cinco oito quatro meia zero meia dois quatro quatro três trinta e oito sete um;True;U2 U9 U5 U8 U4 U6 U0 U6 U2 U4 U4 U3 D3 U8 U7 U1;U2 U9 U5 U8 U4 U6 U0 U6 U2 U4 U4 U3 D3 U8 U7 U1
sessenta e oito vinte nove noventa e oito zero nove trinta e sete cinquenta e oito quatrocentos e onze;False;D6 U8 D2 U9 D9 U8 U0 U9 D3 U7 D5 U8 C4 D1 U1;
oito nove cinco zero sete um sete dois cinco dois dois dois meia sete quatro três;True;U8 U9 U5 U0 U7 U1 U7 U2 U5 U2 U2 U2 U6 U7 U4 U3;U8 U9 U5 U0 U7 U1 U7 U2 U5 U2 U2 U2 U6 U7 U4 U3
um meia oito cinco três oito nove zero trinta e quatro setenta e sete vinte e cinco dois;False;U1 U6 U8 U5 U3 U8 U9 U0 D3 U4 D7 U7 D2 U5 U2;
dois meia meia cinco nove quatro nove sete zero oito treze três sete dois;False;U2 U6 U6 U5 U9 U4 U9 U7 U0 U8 D1 U3 U3 U7 U2;
cinco sete cinco zero zero quatro sete três dois zero dois sete nove oito meia um;True;U5 U7 U5 U0 U0 U4 U7 U3 U2 U0 U2 U7 U9 U8 U6 U1;U5 U7 U5 U0 U0 U4 U7 U3 U2 U0 U2 U7 U9 U8 U6 U1
trinta e cinco sete meia cinco nove oito quatro vinte e cinco quatro três vinte e dois dez;True;D3 U5 U7 U6 U5 U9 U8 U4 D2 U5 U4 U3 D2 U2 D10;D3 U5 U7 U6 U5 U9 U8 U4 D2 U5 U4 U3 D2 U2 D10
