text;success;reference;tags
um dois três eme i ele agá á esse;False;U1  U2  U3  M I L H A S;A
pê erre ó gê nove um cinco;False;P R O G U9  U1  U5;U9 U1 U5
ele ó gê i tê é cê agá gê dois quatro zero xis ele;False;L O G I T E C H G U2  U4  U0 X L;U2 U4 U0
i pê agá ó ene é um dois eme pê;False;I P H O N E U1  U2  M P;E U1 U2
a pê pê ele é esse oito;False;A P P L E S U8;U8
i ô esse quatro gê;False;I O S U4  G;
i ene tê ê ele i sete;False;I N T E L I U7;I U7
eme ó tê ó gê nove;False;M O T O G U9;U9
esse dois dois eme dois dois cinco gê;False;S U2  U2  M U2  U2  U5  G;U2 U2 U5
bê eme dáblio um cinco setei;False;B M W U1  U5  U7  I;U1 U5
efe ó erre dê um nove dois zero;False;F O R D U1  U9  U2  U0;U1 U9 U2 U0
agá bê dois zero;False;H B U2  U0;U2 U0
cê ó dois;False;C O U2;O U2
bê um bê dois zê i ene cê ó;False;B U1  B U2  Z I N C O;
cá nove ele dois oito zê;False;K U9  L U2  U8  Z;U2 U8
cá a tê i a;False;K A T I A;
cê o erre o ene e ele efe a bê erre i cê i a ene o;False;C O R O N E L F A B R I C I A N O;
efe a bê i a ene o;False;F A B I A N O;O
eme a erre i a;False;M A R I A;
jota u ele i a ene a;False;J U L I A N E;
eme a cê a e;False;M A C A E;A E
i tê a pê e tê i ene i ene gê a;False;I T A P E T I N I N G A;E
jota a i ene e;False;J A I N E;
a u gê u esse tê o;False;A U G U S T O;O
esse a ene tê a bê a craseado erre bê a erre a dê o e esse tê e;False;S A N T A B A R B A R A D O E S T E;
ene a tê a ele i a;False;N A T A L I A;I
tê a ene i a;False;T A N I A;
cê a erre ele o esse;False;C A R L O S;
bê esse a bê e ele a;False;I S A B E L A;
pê e quê u i eme;False;P E Q U I M;U I
ele ele i  a;False;L L I A;I A
erre i o bê erre a ene cê o;False;R I O B R A N C O;
eme e ene dê o zê a;False;M E N D O Z A;A
ele o esse a ene gê e ele e esse;False;L O S A N G E L E S;
u bê e erre a bê a;False;U B E R A B A;
jota o esse e;False;J O S E;
cê a i erre o;False;C A I R O;
jota a i ele tê o eme;False;J A I L T O M;
pê a ele eme a esse;False;P A L M A S;
a ene a;False;A N A;
erre o esse a ene e;False;R O S A N E;E
i tê a ene agá a e eme;False;I T A N H A E M;A E
eme a erre cê e ele o;False;M A R C E L O;O
e ele i e ene e;False;E L I E N E;
cê o pê e ene agá a gê u e;False;C O P E N H A G U E;
tê erre i ene dê o dê a dê e;False;T R I N D O D A D E;
efe e erre ene a ene dê o;False;F E R N A N D O;O
eme o jota i gê u a cê cedilha u;False;M O J I G U A ê U;
erre a efe a e ele;False;R A F A E L;A E
esse e erre gê i o;False;S E R G I O;I O
e ele  o i esse a;False;E L O I S A;
cê a erre a cê a esse;False;C A R A C A S;
i tê a pê e eme i erre i ene;False;I T A P E M I R I N;E
e erre e cê agá i eme;False;E R E C H I M;I
cê ele a erre a;False;C L A R A;
o esse ele o;False;O S L O;
tê tê e erre e esse a;False;T T E R E S A;A
jota jota a ene a i ene a;False;J A N A I N A;A I
eme o ene i cê a;False;M O N I C A;A
ene i cê a ene o erre;False;N I C A N O R;O
vê i e ene a;False;V I E N A;
jota a gê u a erre i bê e;False;J A G U A R I B E;
ele  o ene dê erre i ene a;False;L O N D R I N A;A
ele a erre a ene jota e i erre a esse;False;L A R A N J E I R A S;E I
a ele e xis a ene dê erre e;False;A L E X A N D R E;
efe a  bê i a ene a;False;F A B I A N E;
cê a ene cê u ene;False;C A N C U N;
erre e ene a tê a;False;R E N A T A;
dê u quê u e dê e cê a xis i a esse;False;D U Q U E D E C A X I A S;
a ele e esse esse a ene dê erre o;False;A L E S S A N D R O;O
dê i a dê e eme a;False;D I A D E M A;
pê o erre tê o a ele e gê erre e;False;P O R T O A L E G R E;
e a ene dê erre o;False;E A N D R O;
tê a i esse;False;T A I S;A I
tê u bê a erre a o;False;T U B A R A O;A O
efe a bê i a ene e;False;F A B I A N E;E
gê i ele eme a erre;False;G I L M A R;
pê a tê o esse dê e eme i ene a esse;False;P A T O S D E M I N A S;
cê a xis i a esse dê o esse u ele;False;C A X I A S D O S U L;
gê ele a êpsilon esse o ene;False;G L A Y S O N;
jota a ene u a erre i a;False;J A N U A R I A;I
dêblio a ele dê i a ene a;False;W A L D I A N A;
eme o jota i eme i erre i eme;False;M O J I M I R I M;
bê erre e vê e esse;False;B R E V E S;E V E
tê a tê i a ene a;False;T A T I A N E;
vê i tê o erre i a dê a cê o ene quê u i esse tê a;False;V I T O R I A D A C O N Q U I S T A;U
a ene a pê o ele i esse nêo ê isso;False;A N A P O L I S;
efe erre a ene cê i esse cê o;False;F R A N C I S C O;O
esse o bê erre a ele;False;S O B R A L;
tê i a gê o;False;T I A G O;
sete nove sete três meia zero cinco nove nove três dois oito um dois oito quatro;True;U7 U9 U7 U3 U6 U0 U5 U9 U9 U3 U2 U8 U1 U2 U8 U4;U7 U9 U7 U3 U6 U0 U5 U9 U9 U3 U2 U8 U1 U2 U8 U4
ene a esse a;False;N A R A;
um seis um quatro oito nove oito nove sete cinco zero três sete oito três dois;True;U1 U6 U1 U4 U8 U9 U8 U9 U7 U5 U0 U3 U7 U8 U3 U2;U1 U6 U1 U4 U8 U9 U8 U9 U7 U5 U0 U3 U7 U8 U3 U2
pê e tê erre o ele i ene a;False;P E T R O L I N A;
vê a erre zê e a gê erre a ene dê e;False;V A R Z E A G R A N D E;
dois quatro zero sete cinco oito nove um meia três;True;U2 U4 U0 U7 U5 U8 U9 U1 U6 U3;U2 U4 U0 U7 U5 U8 U9 U1 U6 U3
cê a erre o ele i ene a;False;C A R O L I N A;I
um três sete meia nove dois cinco zero oito quatro;True;U1 U3 U7 U6 U9 U2 U5 U0 U8 U4;U1 U3 U7 U6 U9 U2 U5 U0 U8 U4
seis três nove sete oito cinco zero dois um quatro;True;U6 U3 U9 U7 U8 U5 U0 U2 U1 U4;U6 U3 U9 U7 U8 U5 U0 U2 U1 U4
três zero zero meia zero sete nove sete quatro cinco um três um dois oito dois;False;U3 U0 U0 U6 U07 U9 U7 U4 U5 U1 U3 U1 U2 U8 U2;U3 U0 U0 U6 U0 U7 U9 U7 U4 U5 U1 U3 U1 U2 U8 U2
meia quatro dois oito cinco nove sete cinco um quatro quatro três três zero um;True;U6 U4 U2 U8 U5 U9 U7 U5 U1 U4 U4 U3 U3 U0 U1;U6 U4 U2 U8 U5 U9 U7 U5 U1 U4 U4 U3 U3 U0 U1
bê a erre erre a dê o pê i erre a i;False;B A R R A D O P I R A I;
